*******************************************************************************
 Revised: June 02, 2025                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2025-Jun-02):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375662    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Dec 19 12:17:16 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2030-Sep-01 00:00:00.0000 TDB
Stop  time      : A.D. 2033-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2462745.500000000, A.D. 2030-Sep-01 00:00:00.0000, -6.236024161498825E-01,  1.495644904222776E+00,  4.665528125299312E-02, -1.239298284169807E-02, -4.192687875972398E-03,  2.158590946119007E-04,  9.362773209703076E-03,  1.621113928206257E+00,  9.052989601330708E-04,
2462746.500000000, A.D. 2030-Sep-02 00:00:00.0000, -6.359735791739496E-01,  1.491400276185789E+00,  4.686951690193153E-02, -1.234921200006762E-02, -4.296490249066653E-03,  2.126106228425072E-04,  9.367979624928345E-03,  1.622015391057986E+00,  8.976183436857002E-04,
2462747.500000000, A.D. 2030-Sep-03 00:00:00.0000, -6.483005785750923E-01,  1.487052080460985E+00,  4.708049937585659E-02, -1.230465642299114E-02, -4.399822513519360E-03,  2.093527684772250E-04,  9.373141536209698E-03,  1.622909148290693E+00,  8.898878228713886E-04,
2462748.500000000, A.D. 2030-Sep-04 00:00:00.0000, -6.605826321764537E-01,  1.482600789315531E+00,  4.728821939919502E-02, -1.225932123607621E-02, -4.502680346383415E-03,  2.060857516645369E-04,  9.378258656999859E-03,  1.623795150290255E+00,  8.821079944869053E-04,
2462749.500000000, A.D. 2030-Sep-05 00:00:00.0000, -6.728189629135365E-01,  1.478046879323387E+00,  4.749266791171335E-02, -1.221321155229578E-02, -4.605059474623259E-03,  2.028097881242834E-04,  9.383330704215502E-03,  1.624673348042314E+00,  8.742794510182363E-04,
2462750.500000000, A.D. 2030-Sep-06 00:00:00.0000, -6.850087988277314E-01,  1.473390831314412E+00,  4.769383606730963E-02, -1.216633246748501E-02, -4.706955671099556E-03,  1.995250876128363E-04,  9.388357398218569E-03,  1.625543693129041E+00,  8.664027815814588E-04,
2462751.500000000, A.D. 2030-Sep-07 00:00:00.0000, -6.971513730599764E-01,  1.468633130325483E+00,  4.789171523307437E-02, -1.211868906410769E-02, -4.808364752651792E-03,  1.962318561500370E-04,  9.393338462805607E-03,  1.626406137727291E+00,  8.584785743746320E-04,
2462752.500000000, A.D. 2030-Sep-08 00:00:00.0000, -7.092459238435290E-01,  1.463774265553206E+00,  4.808629698815237E-02, -1.207028642260432E-02, -4.909282577695507E-03,  1.929303017624717E-04,  9.398273625200201E-03,  1.627260634607290E+00,  8.505074231204423E-04,
